
Quadro extraído em 13 de Setembro de 2024 (17:46:21)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024) (1) ;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares por Localização geográfica (NUTS - 2024) e Setor institucional do comprador -  Trimestral;;;
;;;Setor institucional do comprador;;;
;;;Total;Famílias;Restantes setores institucionais;
;;? ;? ;? ;? ;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2675;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2335;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2206;x;x;x;
3.º Trimestre de 2019;11A1312: Porto;x;1833;1879;1614;
;11A131202: Bonfim;x;x;x;x;
;11A131203: Campanhã;x;x;x;x;
;11A131210: Paranhos;x;x;x;x;
;11A131211: Ramalde;x;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;x;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;x;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;x;x;x;x;
2.º Trimestre de 2019;11A1312: Porto;x;1906;2005;1514;
;11A131202: Bonfim;x;x;x;x;
;11A131203: Campanhã;x;x;x;x;
;11A131210: Paranhos;x;x;x;x;
;11A131211: Ramalde;x;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;x;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;x;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;x;x;x;x;
1.º Trimestre de 2019;11A1312: Porto;x;1836;1923;1496;
;11A131202: Bonfim;x;x;x;x;
;11A131203: Campanhã;x;x;x;x;
;11A131210: Paranhos;x;x;x;x;
;11A131211: Ramalde;x;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;x;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;x;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;x;x;x;x;

Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Trimestral
Valor mediano das vendas por m2 de alojamentos familiares por Localização geográfica (NUTS - 2024) e Setor institucional do comprador -  Trimestral

Nota(s):
(1) A desagregação geográfica ao nível da freguesia ocorre apenas nos municípios da área metropolitana do Porto, regiões da Grande Lisboa, Península de Setúbal, Algarve e outros municípios com mais de 100 mil habitantes (Censos 2021).



Última atualização destes dados: 16 de julho de 2024


Metainformação associada ao quadro

Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?)
Designação;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Estatisticas de preços da habitação ao nível local
Primeiro período disponível;4.º Trimestre de 2019
Último período disponível;1.º Trimestre de 2024
Dimensões
