'freguesia','bairro','tipologia','renda','nrelementos'
'Paranhos','Carriçal','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','2'
'Campanhã','Lagarteiro','3','[40 - 60[','2'
'Campanhã','Lagarteiro','2','[20 - 40[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','3'
'Ramalde','Campinas','<= 1','[60 - 80[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','3'
'Ramalde','Campinas','2',' < 20 ','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','3','[120 - 140[','2'
'Ramalde','Campinas','2','[20 - 40[','3'
'Ramalde','Viso','<= 1','[160 - 180[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','4','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','<= 1','[60 - 80[','2'
'Campanhã','Ilhéu','3','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','4','[20 - 40[','1'
'Campanhã','Contumil','3',' < 20 ','2'
'Campanhã','Agr. Hab. do Falcão','3','[40 - 60[','1'
'Paranhos','Carriçal','3','[20 - 40[','1'
'Ramalde','Viso','3','[220 - 240[','5'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','3'
'Paranhos','Regado','<= 1',' < 20 ','1'
'Ramalde','Francos','2','[60 - 80[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','3','[60 - 80[','3'
'Campanhã','Ilhéu','3','[20 - 40[','4'
'Campanhã','Ilhéu','3','[20 - 40[','2'
'Ramalde','Francos','3',' < 20 ','>= 6'
'Paranhos','Carriçal','3',' < 20 ','2'
'Ramalde','Campinas','4',' < 20 ','>= 6'
'Ramalde','Campinas','2',' < 20 ','2'
'Paranhos','Outeiro','<= 1','[20 - 40[','1'
'Ramalde','Campinas','2',' < 20 ','2'
'Paranhos','Outeiro','<= 1','[20 - 40[','1'
'Campanhã','Antas','3','[100 - 120[','2'
'Ramalde','Viso','2','[40 - 60[','3'
'Ramalde','Campinas','<= 1',' < 20 ','2'
'Ramalde','Campinas','<= 1','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','1'
'Paranhos','Agra do Amial','4','[40 - 60[','>= 6'
'Ramalde','Campinas','2','[60 - 80[','3'
'Campanhã','Ilhéu','3','[20 - 40[','2'
